"CONTEXT", "ID", "TEXT"
"PoisonInnerOpen2","CLOSE","CLOSE"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTRY OF INFORMATION"
"PoliceBadgeInner","Office of Investigation","Office of Investigation"
"PoliceBadgeInner","East Grestin Division","East Grestin Division"
"PoliceBadgeInner","Special Investigator","Special Investigator"
"PoliceBadgeInner","MOI","MOI"
"tweak-press-pass-title-weight","'wght' 900","'wght' 900"
"PressPassInner","INTERNATIONAL","INTERNATIONAL"
"PressPassInner","PRESS","PRESS"
"PressPassInner","IDENTIFICATION","IDENTIFICATION"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","PASSPORT <span>ISS.</span> FIELD MUST BE VALID"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOCUMENT MUST<br>HAVE A SEAL"
"RulesInnerHome","Arstotzkan","Arstotzkan"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministry<span>of</span>Admission"
"RulesInnerHome","RULES","RULES"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","REGULATIONS"
"RulesInnerHome","for Inspectors","for Inspectors"
"RulesInnerHome","CONTENTS","CONTENTS"
"RulesInnerHome","PROPERTY OF","PROPERTY OF"
"RulesInnerHome","M.O.A","M.O.A"
"RulesInnerBasic","RULES","RULES"
"RulesInnerRegion","DIPLOMATIC SEALS","DIPLOMATIC SEALS"
"RulesInnerRegion","PASSPORT","PASSPORT"
"RulesInnerRegion","ISSUING CITIES","ISSUING CITIES"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRICTS"
"RulesInnerRegionArstotzka","PASSPORT","PASSPORT"
"RulesInnerRegionArstotzka","ISSUING CITIES","ISSUING CITIES"
"RulesInnerBooth","INSPECTOR'S BOOTH","INSPECTOR'S BOOTH"
"RulesInnerBooth","Shutter","Shutter"
"RulesInnerBooth","Counter","Counter"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date"
"RulesInnerBooth","UPGRADES","UPGRADES"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","NO UPGRADES<br>INSTALLED"
"RulesInnerBooth2","INSPECTOR'S BOOTH","INSPECTOR'S BOOTH"
"RulesInnerBooth2","Shutter","Shutter"
"RulesInnerBooth2","Counter","Counter"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Audio Trans.<br>Rule Book<br>Weight"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Bulletin<br>Time &amp; Date"
"RulesInnerBooth2","UPGRADES","UPGRADES"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","NO UPGRADES<br>INSTALLED"
"RulesInnerBooth3","INSPECTOR'S BOOTH","INSPECTOR'S BOOTH"
"RulesInnerBooth3","Shutter<br>Time &amp; Date<br>Weight","Shutter<br>Time &amp; Date<br>Weight"
"RulesInnerBooth3","Counter","Counter"
"RulesInnerBooth3","Rule Book<br>Audio Trans.<br>Bulletin","Rule Book<br>Audio Trans.<br>Bulletin"
"RulesInnerBooth3","UPGRADES","UPGRADES"
"RulesInnerBooth3","NO UPGRADES<br>INSTALLED","NO UPGRADES<br>INSTALLED"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFFICIALLY RECOGNIZED"
"RulesInnerDocs","DOCUMENTS","DOCUMENTS"
"RulesInnerDocs","CONTENTS","CONTENTS"
"RulesInnerEntryPermit","ENTRY PERMIT","ENTRY PERMIT"
"RulesInnerEntryPermit","VALID SEALS","VALID SEALS"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKAN<br>ID CARD"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","ISSUED TO ALL ARSTOTZKAN CITIZENS"
"RulesInnerIdCard","DISTRICTS","DISTRICTS"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","IDENTITY<br>SUPPLEMENT"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","ISSUED TO ALL QUALIFIED FOREIGNERS"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY"
"RulesInnerAccessPermit","ACCESS PERMIT","ACCESS PERMIT"
"RulesInnerAccessPermit","VALID SEALS","VALID SEALS"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT"
"RulesInnerWorkPermit","WORK PASS","WORK PASS"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","ISSUED TO ALL QUALIFIED FOREIGN LABOR"
"RulesInnerWorkPermit","VALID SEALS","VALID SEALS"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMATIC"
"RulesInnerDiplomaticAuth","AUTHORIZATION","AUTHORIZATION"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","VALIDATE SEAL WITH COUNTRY PAGE"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","GRANT OF<br>ASYLUM"
"RulesInnerAsylumGrant","VALID SEALS","VALID SEALS"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","ALWAYS VERIFY FINGERPRINTS"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","VACCINE CERTIFICATE"
"RulesInnerVaccineCert","MINISTRY","MINISTRY"
"RulesInnerVaccineCert","OF","OF"
"RulesInnerVaccineCert","HEALTH","HEALTH"
"RulesInnerVaccineCert","REGULATION DOCUMENT","REGULATION DOCUMENT"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS"
"RulesInnerVaccineCert","NO EXCEPTIONS","NO EXCEPTIONS"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PASSPORT CONFISCATION"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","DROP PASSPORT IN CONFISCATION DRAWER"
"RulesInnerConfiscation","POLICY","POLICY"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","PASSPORT MUST BE CONFISCATED BEFORE DETAINING"
"RulesInnerConfiscation","MOI","MOI"
"tweak-rulesinnerlast-moa-style","propaganda","propaganda"
"tweak-rulesinnerlast-moa-style","0px","0px"
"RulesInnerLast","PROPERTY OF","PROPERTY OF"
"RulesInnerLast","M.O.A.","M.O.A."
"RulesInnerLast","GLORY TO ARSTOTZKA","GLORY TO ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Arstotzkan"
"RulesInnerLast","Ministry of Admission","Ministry of Admission"
"RulesInnerLast","Rules &amp; Regulations","Rules &amp; Regulations"
"RulesInnerLast","for Inspectors","for Inspectors"
"RulesInnerLast","1982-1983 Edition","1982-1983 Edition"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY"
"RulesTabConfL","CONF.","CONF."
"RulesTabConfR","CONF.","CONF."
"RulesTabDocsL","DOCS","DOCS"
"RulesTabDocsR","DOCS","DOCS"
"RulesTabMapL","MAP","MAP"
"RulesTabMapR","MAP","MAP"
"RulesTabRulesL","RULES","RULES"
"RulesTabRulesR","RULES","RULES"
"RulesUpgrade0","TOGGLE INSPECT","TOGGLE INSPECT"
"RulesUpgrade0","SPACE","SPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","TOGGLE STAMP BAR"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","RULEBOOK SHORTCUTS"
"RulesUpgrade3","QUICK INSPECT","QUICK INSPECT"
"RulesUpgrade3","DOUBLE-CLICK","DOUBLE-CLICK"
"RulesUpgrade4","MULTITOUCH","MULTITOUCH"
"SeizureSlipInner","Arstotzka Ministry of Admission","Arstotzka Ministry of Admission"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","PASSPORT SEIZURE SLIP"
"SeizureSlipInner","ENTRY VISA","ENTRY VISA"
"SeizureSlipInner","Your passport has been seized.","Your passport has been seized."
"SeizureSlipInner","Contact 1509-6103 for redress.","Contact 1509-6103 for redress."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Mating Habits of Lesser Kolechian Waterfowl"
"SpyDocsInnerBack","A FULL REPORT","A FULL REPORT"
"SpyDocsInnerBack","Ministry of Information","Ministry of Information"
"TranscriptInner","AUDIO TRANSCRIPT","AUDIO TRANSCRIPT"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Certificate<span>of</span>Vaccination"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","DATE"
"VaccineCertInner","VACCINE","VACCINE"
"VaccineCertInner","Vax valid for 3 years","Vax valid for 3 years"
"VisaSlipInner","TEMPORARY VISA SLIP","TEMPORARY VISA SLIP"
"VisaSlipInner","ENTRY VISA","ENTRY VISA"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","TO BE USED FOR DENIALS ONLY"
"WorkPermitInner","Ministry of Labor","Ministry of Labor"
"WorkPermitInner","Work Pass","Work Pass"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","This pass grants its holder the right to work in a specific field for a limited time."
"WorkPermitInner","HOLDER","HOLDER"
"WorkPermitInner","FIELD","FIELD"
"WorkPermitInner","UNTIL","UNTIL"
"WorkPermitInner","Keep this pass with you at all times.","Keep this pass with you at all times."
"EndNews","Kolechian Consensus Reached Over Grestin","Kolechian Consensus Reached Over Grestin"
"ApartmentClass","CLASS","CLASS"
"DetainButton","DETAIN","DETAIN"
"FingerprintButton","FINGERPRINT","FINGERPRINT"
"tweak-searchbutton-padding-left","4px","4px"
"SearchButton","SEARCH","SEARCH"
"EmblemsMOA","M.O.A","M.O.A"
"EmblemsMOA","M.O.L","M.O.L"
"EmblemsMOL","M.O.L","M.O.L"
"Filer","CONFISCATED DOCUMENTS","CONFISCATED DOCUMENTS"
"Filer","PROPERTY OF","PROPERTY OF"
"Filer","M.O.A.","M.O.A."
"GiveIcon","GIVE","GIVE"
"LoadButtonNew","NEW","NEW"
"LoadDay","DAY","DAY"
"LoadDrag","DRAG TO SCROLL","DRAG TO SCROLL"
"News","The Truth of Arstotzka","The Truth of Arstotzka"
"News","No Charge","No Charge"
"ReasonButton","REASON","REASON"
"RifleKill","KILL","KILL"
"RifleTranq","TRANQ","TRANQ"
"StampBarMid","ALIGN VISA BENEATH STAMP","ALIGN VISA BENEATH STAMP"
"Upgrades","SPACE","SPACE"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","HANG ON WALL"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","East Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","FOR ALL YOUR FANTASIES"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","STAMP HERE"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","hanG on wAll"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","ﺲﻘﻄﻟﺍ"
"news:RANDOM_SPORTS","Sports","ﺕﺎﺿﺎﻳﺮﻟﺍ"
"news:RANDOM_ENTERTAINMENT","Entertainment","ﻪﻴﻓﺮﺘﻟﺍ"
"news:RANDOM_POLITICS","Politics","ﺕﺎﺳﺎﻴﺴﻟﺍ"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","!ﺍﺮﻴﺧﺃ ﺢﺘﻔﺗ ﻦﺘﺴﻳﺮﻏ ﻲﻓ ﺩﻭﺪﺤﻟﺍ ﺶﻴﺘﻔﺗ ﺔﻄﻘﻧ"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","؟ﺕﺍﻮﻨﺳ ﺔﺘﺳ ﺪﻌﺑ ﺎﻨﺘﻣﻼﺳ ﻰﻠﻋ ﻆﻓﺎﺤﺗ ﻥﺃ ﻝﻮﺒﻘﻟﺍ ﺓﺭﺍﺯﻮﻟ ﻦﻜﻤﻳ ﻞﻫ"
"news:FIRST_DAY","Families To Reunite","ﺪﻳﺪﺟ ﻦﻣ ﻊﻤﺘﺠﺘﻟ ﺕﻼﺋﺎﻋ"
