CONTEXT (DO NOT MODIFY),ENGLISH (DO NOT MODIFY),LOCALIZED (EDIT THIS COLUMN)
traveler:WALLCOMMENT_PLAQUEONE,What the hell?,ما هذا بحق الجحيم؟
traveler:WALLCOMMENT_ARSKICKER,Nice banner!,لافتة جميلة!
traveler:WALLCOMMENT_ARSKICKER,I remember that game.,أتذكر تلك المباراة.
traveler:WALLCOMMENT_ARSKICKER,Intense.,كانت مشتدّة
traveler:WALLCOMMENT_ARSKICKER,Go Arskickers!,هيا يا أرسكيكرز!
traveler:WALLCOMMENT_ARSKICKER,What the hell?,ما هذا بحق الجحيم؟
traveler:WALLCOMMENT_ARSKICKER,I thought we have Arskickers connection.,أعتقدت أن لدينا اتفاق لأرسكيكرز!
traveler:WALLCOMMENT_SONDRAWING,What is this drawing on the wall?,ما هذه الرسمة التي على الحائط؟
traveler:WALLCOMMENT_SONDRAWING,My dog can do better.,كلبي يمكنه أن يرسم بشكل أفضل.
traveler:WALLCOMMENT_SONDRAWING,@It is from my son.,@إنها من إبني.
traveler:WALLCOMMENT_SONDRAWING,Oh.~,أوه.~
traveler:WALLCOMMENT_SONDRAWING,Maybe he should try sports.,ربما يجب عليه أن يجرب الرياضة.
traveler:WALLCOMMENT_SONDRAWING,Thanks.,شكرًا.
traveler:WALLCOMMENT_SONDRAWING,The drawing is not so bad really.,الرسم ليس سيئًا للغايا.
traveler:WALLCOMMENT_SONDRAWING,I was just in rough mood. Sorry.,كنت في مزاج سيء. آسف.
traveler:WALLCOMMENT_SONDRAWING,Huh?,هاه؟
traveler:WALLCOMMENT_SONDRAWING,"You deny me for comment about drawing, right?","هل ترفضني بسبب تعليقي عن الرسم، أليس كذلك؟"
traveler:WALLCOMMENT_SONDRAWING,@The exit is to your right.,@الخروج على يمينك.
traveler:WALLCOMMENT_SONDRAWING,What are you doing?,ماذا تفعل؟
traveler:WALLCOMMENT_SONDRAWING,Is this because I make fun of drawing?,هل هذا لأنني أسخر من الرسم؟
traveler:WALLCOMMENT_SONDRAWING,I take it back!,أرجع عن كلامي!
traveler:WALLCOMMENT_SONDRAWING,Picture should be in museum!,يجب أن تكون الصورة في المتحف!
traveler:WALLCOMMENT_FAMILYPHOTO,I like picture on wall here.,أعجبتني الصورة التي على الحائط هنا.
traveler:WALLCOMMENT_FAMILYPHOTO,Reminds me of how my family was.,تذكرني بكيف كانت عائلتي.
traveler:WALLCOMMENT_FAMILYPHOTO,Thank you.,شكرًا لك.
traveler:WALLCOMMENT_FAMILYPHOTO,Take care of your family.,اعتني بعائلتك.
traveler:WALLCOMMENT_FAMILYPHOTO,It is too easy to lose them.,من السهل جدًا أن نفقدهم.
speech:ask-purpose,What is the purpose of your trip?,ما هو غرض رحلتك؟
speech:state-purpose,Visiting.,زيارة.
speech:state-purpose,Just visiting.,مجرد زيارة.
speech:state-purpose,I am visiting relatives.,أنا أزور أقاربي.
speech:state-purpose,Visiting friends.,زيارة الأصدقاء.
speech:state-purpose,I come for visit.,لقد جئت للزيارة.
speech:state-purpose,Only to visit.,للزيارة فقط
speech:state-purpose,I will visit friends.,سأزور أصدقائي.
speech:state-purpose,Transit.,ترانزيت.
speech:state-purpose,I pass through.,أعبر.
speech:state-purpose,Transit through the country.,العبور عبر البلد.
speech:state-purpose,I am transiting to elsewhere.,أنا في الترانزيت إلى مكان آخر.
speech:state-purpose,Transit through Arstotzka.,المرور عبر أرستوتزكا
speech:state-purpose,Passing through.,المرور.
speech:state-purpose,I am in transit.,أنا في ترانزيت.
speech:state-purpose,Work.,عمل.
speech:state-purpose,I come to work.,أتيت للعمل
speech:state-purpose,I have job here.,لدي وظيفة هنا.
speech:state-purpose,I plan to work.,أخطط للعمل.
speech:state-purpose,Immigrating.,هجرة.
speech:state-purpose,I am immigrating to Arstotzka.,أنا سأهاجر إلى أرستوتزكا
speech:state-purpose,I will move here.,سأنتقل إلى هنا
speech:state-purpose,I am coming to live with my husband.,أنا أتيت للعيش مع زوجي.
speech:state-purpose,I am coming to live with my wife.,أنا أتيت للعيش مع زوجتي.
speech:state-purpose,I am diplomatic envoy.,أنا مبعوث دبلوماسي.
speech:state-purpose,I was called to diplomatic discussions.,لقد تم استدعائي إلى مناقشات دبلوماسية.
speech:state-purpose,My presence was requested.,لقد تم طلب حضوري.
speech:state-purpose,I am seeking asylum.,أنا أطلب اللجوء.
speech:state-purpose,I come for political asylum.,لقد جئت للحصول على اللجوء السياسي.
speech:state-purpose,Asylum.,لجوء
speech:ask-wrong-purpose,This entry permit is for work.,تصريح الدخول هذا للعمل.
speech:ask-wrong-purpose,You are authorized for transit only.,أنت مُصرح لك بالعبور فقط.
speech:ask-wrong-purpose,You have only a visitors entry permit.,لديك تصريح دخول للزوار فقط.
speech:ask-wrong-purpose,This entry permit is for immigrating.,هذا تصريح الدخول للهجرة.
speech:ask-wrong-purpose,Your entry purpose does not match up.,غرض دخولك لا يتطابق.
speech:ask-wrong-purpose,This entry permit purpose does not match.,غرض تصريح الدخول لا يتطابق.
speech:mistake-prefix,Right.,صحيح.
speech:mistake-prefix,I make mistake.,لقد ارتكبت خطأ.
speech:mistake-prefix,"Yes, of course.","نعم بالطبع."
speech:mistake-prefix,Apologies.,آسف.
speech:wrong-purpose,$mistake-prefix I am just visiting.,$mistake-prefix I am just visiting.
speech:wrong-purpose,$mistake-prefix I just pass through.,$mistake-prefix I just pass through.
speech:wrong-purpose,$mistake-prefix I have come to work.,$mistake-prefix I have come to work.
speech:wrong-purpose,$mistake-prefix I move here permanently.,$mistake-prefix I move here permanently.
speech:ask-duration,Duration of stay?,مدة الإقامة؟
speech:random-stay,I stay,أنا ابقى
speech:random-stay,I remain for,سأبقى لمدة
speech:random-stay,It will be,سيكون ذلك
speech:state-duration,$random-stay forever.,$random-stay forever.
speech:state-duration,$random-stay until I die.,$random-stay until I die.
speech:state-duration,I don't plan to leave.,أنا لا أخطط للمغادرة.
speech:state-duration,$random-stay just 2 days.,$random-stay just 2 days.
speech:state-duration,$random-stay couple days.,$random-stay couple days.
speech:state-duration,$random-stay just 14 days.,$random-stay just 14 days.
speech:state-duration,$random-stay couple weeks.,$random-stay couple weeks.
speech:state-duration,$random-stay only two weeks.,$random-stay only two weeks.
speech:state-duration,$random-stay 30 days.,$random-stay 30 days.
speech:state-duration,$random-stay a few weeks.,$random-stay a few weeks.
speech:state-duration,$random-stay one month.,$random-stay one month.
speech:state-duration,$random-stay 60 days.,$random-stay 60 days.
speech:state-duration,$random-stay 8 weeks.,$random-stay 8 weeks.
speech:state-duration,$random-stay couple months.,$random-stay couple months.
speech:state-duration,$random-stay two months.,$random-stay two months.
speech:state-duration,$random-stay 90 days.,$random-stay 90 days.
speech:state-duration,$random-stay 12 weeks.,$random-stay 12 weeks.
speech:state-duration,$random-stay three months.,$random-stay three months.
speech:state-duration,$random-stay a few months.,$random-stay a few months.
speech:state-duration,$random-stay six months.,$random-stay six months.
speech:state-duration,$random-stay half a year.,$random-stay half a year.
speech:state-duration,$random-stay one year.,$random-stay one year.
speech:state-duration,$random-stay full year.,$random-stay full year.
speech:state-duration,$random-stay a year.,$random-stay a year.
speech:ask-wrong-duration,The length of your stay is different.,مدة إقامتك مختلفة.
speech:wrong-duration,$mistake-prefix $state-duration,$mistake-prefix $state-duration
speech:ask-forgery-missing,This document is missing its seal.,هذه الوثيقة مفقود ختمها.
speech:ask-forgery-missing,There is no seal here.,لا يوجد ختم هنا.
speech:ask-forgery-missing,I do not see the required seal here.,لا أرى الختم المطلوب هنا.
speech:ask-forgery-wrong,This document is forged.,هذه الوثيقة مزورة.
speech:ask-forgery-wrong,This is a forgery.,هذا تزوير.
speech:ask-forgery-idcard,This card contains false information.,تحتوي هذه البطاقة على معلومات خاطئة.
speech:ask-forgery-diplo,This seal is forged.,هذا الختم مزور.
speech:ask-forgery-diplo,This seal is not correct.,هذا الختم غير صحيح.
speech:ask-forgery-asylumgrant,This seal is forged.,هذا الختم مزور.
speech:ask-forgery-asylumgrant,This grant is not sealed properly.,هذه المنحة ليست مختومة بشكل صحيح.
speech:ask-wrong-birthdate,These dates do not match.,هذه التواريخ لا تتطابق.
speech:forgery,I have no idea what you are talking about.,ليس لدي أي فكرة عما تتحدث عنه.
speech:forgery,I do not know anything about that.,لا أعرف شيئا عن هذا.
speech:forgery,I do not understand.,أنا لا أفهم.
speech:ask-expired-paper,This document has expired.,هذه الوثيقة منتهية الصلاحية.
speech:ask-expired-paper,You cannot enter using an expired document.,لا يمكنك الدخول باستخدام وثيقة منتهية الصلاحية.
speech:expired-permit,I could not come until now.,لم أتمكن من القدوم حتى الآن.
speech:expired-permit,I was busy.,كنت مشغول.
speech:expired-passport,What? That is mistake. I just renewed it.,ماذا؟ هذا خطأ. لقد قمت بتجديده للتو.
speech:expired-passport,That must be a typographical error.,لا بد أن يكون هذا خطًأ مطبعي
speech:expired-asylumgrant,There was nothing I could do.,لم يكن هناك شيء أستطيع فعله.
speech:expired-asylumgrant,My travel was difficult.,كانت رحلتي صعبة.
speech:expired-asylumgrant,"Please, have mercy.","من فضلك، ارأف بي."
speech:ask-missing-passport,Where is passport?,أين جواز السفر؟
speech:ask-missing-passport,A passport is required.,جواز السفر مطلوب.
speech:missing-passport,They took away my passport.,لقد أخذوا جواز سفري.
speech:missing-passport,What is passport?,ما هو جواز السفر؟
speech:ask-missing-entrypermit,Where is the entry permit?,أين تصريح الدخول؟
speech:ask-missing-entrypermit,You have no entry permit.,ليس لديك تصريح الدخول.
speech:ask-missing-entrypermit,The entry permit is missing.,تصريح الدخول مفقود.
speech:missing-permit,I was not able to get one.,لم أتمكن من الحصول على واحد.
speech:missing-permit,What is that?,ما هذا؟
speech:missing-permit,Do I need one?,هل أحتاج إلى واحد؟
speech:missing-permit,Is required?,هل هو مطلوب؟
speech:missing-permit,I lost it.,لقد فقدته.
speech:missing-permit,I did not know it was required.,لم أكن أعلم أنه مطلوب.
speech:ask-missing-workpermit,Where is the work pass?,أين تصريح العمل؟
speech:ask-missing-workpermit,You have no work pass.,ليس لديك تصريح عمل.
