CONTEXT (DO NOT MODIFY),ENGLISH (DO NOT MODIFY),LOCALIZED (EDIT THIS COLUMN)
bulletin:19A,"Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor."
bulletin:20A,"Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today."
bulletin:21A,"A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT."
bulletin:23A,"Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Your position is important and your responsibilities are broad.

Follow all protocols strictly."
bulletin:24A,"Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued..."
bulletin:24B,"The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport."
bulletin:25A,"United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
bulletin:26A,"The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued..."
bulletin:26B,"United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
bulletin:27A,"In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued..."
bulletin:27B,"Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district."
bulletin:28A,"In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports."
bulletin:29A,"[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued..."
bulletin:29B,Continue to confiscate all Arstotzkan passports from native entrants.,Continue to confiscate all Arstotzkan passports from native entrants.
bulletin:30A,"[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued..."
bulletin:30B,Continue to confiscate all Arstotzkan passports from native entrants.,Continue to confiscate all Arstotzkan passports from native entrants.
bulletin:31A,"The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued..."
bulletin:31B,"You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants."
facts,$paper: Invalid $fact,$paper: Invalid $fact
facts,Missing $paper,Missing $paper
facts,$0 DISTRICT,$0 DISTRICT
facts,Presence,Presence
facts,Sufficience,Sufficience
facts,Excellence,Excellence
facts,Obristan,Obristan
facts,Antegria,Antegria
facts,Republia,Republia
facts,UnitedFed,UnitedFed
facts,Impor,Impor
facts,Kolechia,Kolechia
facts,Arstotzka,Arstotzka
facts,Skal,Skal
facts,Lorndaz,Lorndaz
facts,Mergerous,Mergerous
facts,St. Marmero,St. Marmero
facts,Glorian,Glorian
facts,Outer Grouse,Outer Grouse
facts,True Glorian,True Glorian
facts,Lesrenadi,Lesrenadi
facts,Bostan,Bostan
facts,Great Rapid,Great Rapid
facts,Shingleton,Shingleton
facts,Korista City,Korista City
facts,Enkyo,Enkyo
facts,Haihan,Haihan
facts,Tsunkeido,Tsunkeido
facts,Yurko City,Yurko City
facts,Vedor,Vedor
facts,West Grestin,West Grestin
facts,Orvech Vonor,Orvech Vonor
facts,East Grestin,East Grestin
facts,Paradizna,Paradizna
facts,Passport,Passport
facts,Entry Ticket,Entry Ticket
facts,Entry Permit,Entry Permit
facts,Work Pass,Work Pass
facts,Id Card,Id Card
facts,Id Supplement,Id Supplement
facts,Access Permit,Access Permit
facts,Diplomatic Auth,Diplomatic Auth
facts,Asylum Grant,Asylum Grant
facts,Vaccine Cert,Vaccine Cert
facts,Identity Record,Identity Record
facts,Fingerprints,Fingerprints
facts,Name,Name
facts,Id Number,Id Number
facts,Expiration Date,Expiration Date
facts,Issuing City,Issuing City
facts,Birth Date,Birth Date
facts,Alias,Alias
facts,Height,Height
facts,Weight,Weight
facts,Description,Description
facts,Thumbprint,Thumbprint
facts,Date,Date
facts,Purpose,Purpose
facts,Duration,Duration
facts,Face,Face
facts,District,District
facts,Gender,Gender
facts,Work End Date,Work End Date
facts,Altan,Altan
facts,Vescillo,Vescillo
facts,Burnton,Burnton
facts,Octovalis,Octovalis
facts,Gennistora,Gennistora
facts,Lendiforma,Lendiforma
facts,Wozenfield,Wozenfield
facts,Fardesto,Fardesto
facts,DENTISTRY,DENTISTRY
facts,HEALTH-CARE,HEALTH-CARE
facts,GENERAL-LABOR,GENERAL-LABOR
facts,ENGINEERING,ENGINEERING
facts,SPORTS,SPORTS
facts,ARCHITECTURE,ARCHITECTURE
facts,FOOD-SERVICE,FOOD-SERVICE
facts,AVIATION,AVIATION
facts,ACCOUNTING,ACCOUNTING
facts,FISHING,FISHING
facts,DRAFTING,DRAFTING
facts,RESEARCH,RESEARCH
facts,FINE-ARTS,FINE-ARTS
facts,AGRICULTURE,AGRICULTURE
facts,MANUFACTURING,MANUFACTURING
facts,CONSTRUCTION,CONSTRUCTION
facts,SURVEYING,SURVEYING
facts,STATISTICS,STATISTICS
facts,POLIO,POLIO
facts,HPV,HPV
facts,COWPOX,COWPOX
facts,TETANUS,TETANUS
facts,YEL.FEV.,YEL.FEV.
facts,CHOLERA,CHOLERA
facts,RUBELLA,RUBELLA
facts,HEP-B,HEP-B
facts,MEASLES,MEASLES
facts,TUBERC.,TUBERC.
facts,2 DAYS,2 DAYS
facts,14 DAYS,14 DAYS
facts,1 MONTH,1 MONTH
facts,2 MONTHS,2 MONTHS
facts,3 MONTHS,3 MONTHS
facts,6 MONTHS,6 MONTHS
facts,1 YEAR,1 YEAR
facts,FOREVER,FOREVER
facts,visit,visit
facts,transit,transit
facts,work,work
facts,immigrate,immigrate
facts,Possible Smuggler Admitted,Possible Smuggler Admitted
facts,Missing documents,Missing documents
facts,Wanted criminal admitted,Wanted criminal admitted
facts,Incorrect purpose response,Incorrect purpose response
facts,Incorrect visit duration response,Incorrect visit duration response
facts,Passport: Non-matching photo,Passport: Non-matching photo
facts,Forged Entry Permit,Forged Entry Permit
facts,Forged Work Pass,Forged Work Pass
facts,Id Card: Non-matching photo,Id Card: Non-matching photo
facts,Forged Access Permit,Forged Access Permit
facts,No Diplomatic Access to Arstotzka,No Diplomatic Access to Arstotzka
facts,Forged Diplomatic Auth,Forged Diplomatic Auth
facts,Forged Asylum Grant Seal,Forged Asylum Grant Seal
facts,Necessary vaccine expired,Necessary vaccine expired
facts,Missing necessary vaccine,Missing necessary vaccine
facts,Name does not match record,Name does not match record
facts,Alias does not match record,Alias does not match record
facts,Fingerprints do not match record,Fingerprints do not match record
facts,Cobrastan is not a real country,Cobrastan is not a real country
facts,No entry from Antegria,No entry from Antegria
facts,No entry from Arstotzka,No entry from Arstotzka
facts,No entry from Republia,No entry from Republia
facts,No entry from United Fed,No entry from United Fed
facts,No entry from Obristan,No entry from Obristan
facts,No entry from Impor,No entry from Impor
facts,No entry from Kolechia,No entry from Kolechia
facts,Possible Terrorist Admitted,Possible Terrorist Admitted
facts,Entrant Holds Conflicting Passports,Entrant Holds Conflicting Passports
facts,Entrant must have a passport,Entrant must have a passport
facts,Foreigners require an entry permit,Foreigners require an entry permit
facts,Foreigners require an entry ticket,Foreigners require an entry ticket
facts,All documents must be current,All documents must be current
facts,Workers must have a work pass,Workers must have a work pass
facts,Citizens must have an id card,Citizens must have an id card
facts,Foreigners require an id supplement,Foreigners require an id supplement
facts,Arstotzkan citizens only,Arstotzkan citizens only
facts,No entry from United Federation,No entry from United Federation
facts,No weapons or contraband,No weapons or contraband
facts,All Kolechians must be searched,All Kolechians must be searched
facts,Diplomats require authorization,Diplomats require authorization
facts,Entrant must have polio vaccine cert,Entrant must have polio vaccine cert
facts,Asylum seekers must have a grant,Asylum seekers must have a grant
facts,Foreigners require an access permit,Foreigners require an access permit
facts,CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.,CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.
facts,CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.,CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.
facts,Passport not confiscated,Passport not confiscated
paper:SecondPassport,West Grestin,West Grestin
paper:Rules,Basic Rules,Basic Rules
paper:Rules,Regional Map,Regional Map
paper:Rules,Booth Info,Booth Info
paper:Rules,Documents,Documents
paper:Rules,Confiscation,Confiscation
paper:Rules,Obristan,Obristan
paper:Rules,Antegria,Antegria
paper:Rules,Republia,Republia
paper:Rules,United,United
paper:Rules,Federation,Federation
paper:Rules,Impor,Impor
paper:Rules,Kolechia,Kolechia
paper:Rules,Arstotzka,Arstotzka
paper:Rules,ANTEGRIA,ANTEGRIA
paper:Rules,ARSTOTZKA,ARSTOTZKA
paper:Rules,IMPOR,IMPOR
paper:Rules,KOLECHIA,KOLECHIA
paper:Rules,OBRISTAN,OBRISTAN
paper:Rules,REPUBLIA,REPUBLIA
paper:Rules,UNITED FED.,UNITED FED.
paper:Rules,Id Card (Native),Id Card (Native)
paper:Rules,Entry Permit,Entry Permit
paper:Rules,Id Supplement,Id Supplement
paper:Rules,Access Permit,Access Permit
paper:Rules,Work Pass,Work Pass
paper:Rules,Diplomatic Auth.,Diplomatic Auth.
paper:Rules,Grant of Asylum,Grant of Asylum
paper:Rules,Vaccine Cert.,Vaccine Cert.
intro,Congratulations.,Congratulations.
intro,The October labor lottery is complete. Your name was pulled.,The October labor lottery is complete. Your name was pulled.
intro,"For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint."
intro,An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.,An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.
intro,Glory to Arstotzka.,Glory to Arstotzka.
end:in-debt,Arstotzka has zero tolerance for delinquency.,Arstotzka has zero tolerance for delinquency.
end:in-debt,Your family will be sent back to their village.,Your family will be sent back to their village.
end:in-debt,You are under arrest until your debts are repaid.,You are under arrest until your debts are repaid.
end:in-debt,A replacement inspector will be found easily.,A replacement inspector will be found easily.
end:in-debt,Glory to Arstotzka.,Glory to Arstotzka.
end:family-dead,Your entire family is gone.,Your entire family is gone.
end:family-dead,The Ministry Of Labor focuses on Arstotzka's future growth.,The Ministry Of Labor focuses on Arstotzka's future growth.
end:family-dead,Workers are expected to support large healthy families.,Workers are expected to support large healthy families.
end:family-dead,Your position will be filled by someone more appropriate.,Your position will be filled by someone more appropriate.
end:family-dead,Glory to Arstotzka.,Glory to Arstotzka.
end:turned-over-ezic-docs,You are under arrest for associating with suspicious groups.,You are under arrest for associating with suspicious groups.
end:turned-over-ezic-docs,The Ministry of Information will perform a full audit of your recent activities.,The Ministry of Information will perform a full audit of your recent activities.
end:turned-over-ezic-docs,Glory to Arstotzka.,Glory to Arstotzka.
end:caught-with-ezic-money,The Ministry of Income has discovered an anomaly in your earnings.,The Ministry of Income has discovered an anomaly in your earnings.
end:caught-with-ezic-money,You are under arrest pending a full audit of your recent activities.,You are under arrest pending a full audit of your recent activities.
end:caught-with-ezic-money,Your family will likewise be held for questioning.,Your family will likewise be held for questioning.
end:caught-with-ezic-money,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:caught-with-ezic-money,Glory to Arstotzka.,Glory to Arstotzka.
end:killed-innocent,You are under arrest for the murder of an innocent.,You are under arrest for the murder of an innocent.
end:killed-innocent,The penalty is death.,The penalty is death.
end:killed-innocent,Your family will be questioned about their involvement.,Your family will be questioned about their involvement.
end:killed-innocent,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:killed-innocent,Glory to Arstotzka.,Glory to Arstotzka.
end:tranqed-innocent,You are under arrest for attacking an innocent.,You are under arrest for attacking an innocent.
end:tranqed-innocent,The penalty is forced labor.,The penalty is forced labor.
end:tranqed-innocent,Your family will be questioned about their involvement.,Your family will be questioned about their involvement.
end:tranqed-innocent,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:tranqed-innocent,Glory to Arstotzka.,Glory to Arstotzka.
end:killed-guard,You are under arrest for the murder of an Arstotzkan official.,You are under arrest for the murder of an Arstotzkan official.
end:killed-guard,The penalty is death.,The penalty is death.
end:killed-guard,Your family will be questioned about their involvement.,Your family will be questioned about their involvement.
end:killed-guard,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:killed-guard,Glory to Arstotzka.,Glory to Arstotzka.
end:tranqed-guard,You are under arrest for attacking an Arstotzkan official.,You are under arrest for attacking an Arstotzkan official.
end:tranqed-guard,The penalty is death.,The penalty is death.
end:tranqed-guard,Your family will be questioned about their involvement.,Your family will be questioned about their involvement.
end:tranqed-guard,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:tranqed-guard,Glory to Arstotzka.,Glory to Arstotzka.
end:killed-target,You are under arrest for the murder of an innocent.,You are under arrest for the murder of an innocent.
end:killed-target,The penalty is death.,The penalty is death.
end:killed-target,Your family will be questioned about their involvement.,Your family will be questioned about their involvement.
end:killed-target,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:killed-target,Glory to Arstotzka.,Glory to Arstotzka.
end:killed-target,[A note appears from under the cell door],[A note appears from under the cell door]
end:killed-target,INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE,INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE
end:killed-target,REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED,REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED
end:killed-target,WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN,WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN
end:killed-target,FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK,FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK
end:tranqed-target,You are under arrest for attacking an innocent.,You are under arrest for attacking an innocent.
end:tranqed-target,The penalty is forced labor.,The penalty is forced labor.
end:tranqed-target,Your family will be questioned about their involvement.,Your family will be questioned about their involvement.
end:tranqed-target,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:tranqed-target,Glory to Arstotzka.,Glory to Arstotzka.
end:tranqed-target,[A note appears from under the cell door],[A note appears from under the cell door]
end:tranqed-target,INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL,INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL
end:tranqed-target,REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED,REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED
end:tranqed-target,WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN,WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN
end:tranqed-target,FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK,FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK
end:stuff-on-walls,You are under arrest for violating direct orders.,You are under arrest for violating direct orders.
end:stuff-on-walls,The penalty is forced labor.,The penalty is forced labor.
end:stuff-on-walls,Your family will be sent back to their village.,Your family will be sent back to their village.
end:stuff-on-walls,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:stuff-on-walls,Glory to Arstotzka.,Glory to Arstotzka.
end:arrested-boss-buddy,Your supervisor has reported you for theft of Arstotzkan property.,Your supervisor has reported you for theft of Arstotzkan property.
end:arrested-boss-buddy,The penalty is forced labor.,The penalty is forced labor.
end:arrested-boss-buddy,Your family will be sent back to their village.,Your family will be sent back to their village.
end:arrested-boss-buddy,The border will remain open under a replacement inspector.,The border will remain open under a replacement inspector.
end:arrested-boss-buddy,Glory to Arstotzka.,Glory to Arstotzka.
end:wall-destroyed,The Grestin Border wall has been destroyed.,The Grestin Border wall has been destroyed.
end:wall-destroyed,You are under arrest for failure to defend the checkpoint.,You are under arrest for failure to defend the checkpoint.
end:wall-destroyed,Your family will be sent back to their village.,Your family will be sent back to their village.
